Rank,Zip Code,Population
972,14813,"2,325"
973,13612,"2,322"
974,13076,"2,314"
975,12581,"2,313"
976,12981,"2,301"
976,13101,"2,301"
977,13648,"2,298"
978,13658,"2,288"
979,14809,"2,279"
979,13363,"2,279"
980,14476,"2,274"
981,14744,"2,268"
982,12185,"2,262"
983,13673,"2,260"
984,13120,"2,250"
985,13620,"2,245"
985,13626,"2,245"
986,14604,"2,243"
987,13616,"2,229"
988,12979,"2,223"
989,12776,"2,214"
990,12918,"2,208"
991,12578,"2,206"
992,14747,"2,201"
993,13495,"2,197"
994,13797,"2,194"
995,12926,"2,192"
996,14040,"2,179"
997,12748,"2,160"
998,10511,"2,158"
999,11509,"2,153"
999,13736,"2,153"
"1,000",14767,"2,146"
"1,001",14560,"2,142"
"1,002",12023,"2,134"
"1,003",14818,"2,129"
"1,004",10973,"2,123"
"1,005",12817,"2,119"
"1,005",12912,"2,119"
"1,006",13425,"2,113"
"1,007",10537,"2,106"
"1,008",13320,"2,102"
"1,009",12173,"2,100"
"1,010",13843,"2,099"
"1,011",12780,"2,097"
"1,012",14879,"2,090"
"1,013",14781,"2,089"
"1,014",12996,"2,079"
"1,015",13083,"2,069"
"1,016",13327,"2,056"
"1,016",12916,"2,056"
"1,017",13160,"2,055"
"1,018",11964,"2,054"
"1,019",12168,"2,053"
"1,020",12937,"2,045"
"1,021",14427,"2,044"
"1,022",13110,"2,038"
"1,023",12057,"2,036"
"1,024",13646,"2,030"
"1,025",12575,"2,028"
"1,025",13734,"2,028"
"1,026",14544,"2,026"
"1,027",12197,"2,023"
"1,028",14533,"2,021"
"1,029",14806,"2,015"
"1,030",12910,"2,006"
"1,030",14138,"2,006"
"1,031",11941,"2,004"
"1,032",14826,"2,000"
"1,032",13746,"2,000"
"1,032",12759,"2,000"
"1,033",12440,"1,999"
"1,034",11976,"1,996"
"1,035",12747,"1,992"
"1,035",12783,"1,992"
"1,036",13679,"1,989"
"1,037",13063,"1,988"
"1,037",14718,"1,988"
"1,038",13034,"1,987"
"1,039",13144,"1,986"
"1,039",12775,"1,986"
"1,040",14005,"1,973"
"1,041",12577,"1,972"
"1,041",14101,"1,972"
"1,042",12779,"1,959"
"1,043",12740,"1,958"
"1,044",14171,"1,956"
"1,045",12192,"1,954"
"1,046",12789,"1,952"
"1,047",14058,"1,951"
"1,048",14898,"1,950"
"1,049",14711,"1,915"
"1,050",12957,"1,899"
"1,051",13156,"1,896"
"1,051",13697,"1,896"
"1,052",14504,"1,873"
"1,053",13625,"1,863"
"1,054",12070,"1,860"
"1,055",12928,"1,858"
"1,056",10917,"1,855"
"1,057",12977,"1,849"
"1,058",13433,"1,844"
"1,059",13112,"1,843"
"1,060",14814,"1,833"
"1,061",14726,"1,829"
"1,062",12193,"1,828"
"1,063",14741,"1,809"
"1,063",12155,"1,809"
"1,064",13493,"1,792"
"1,065",10986,"1,791"
"1,065",12729,"1,791"
"1,066",14838,"1,786"
"1,067",14145,"1,785"
"1,068",12066,"1,784"
"1,069",12737,"1,782"
"1,070",14743,"1,780"
"1,071",14030,"1,775"
"1,072",13402,"1,774"
"1,073",13431,"1,773"
"1,074",13343,"1,772"
"1,075",13775,"1,769"
"1,076",14065,"1,763"
"1,077",12137,"1,762"
"1,078",13490,"1,757"
"1,079",13428,"1,754"
"1,079",14033,"1,754"
"1,080",11005,"1,749"
"1,080",12455,"1,749"
"1,081",13026,"1,734"
"1,082",12062,"1,730"
"1,083",13024,"1,723"
"1,084",13302,"1,722"
"1,085",12461,"1,718"
"1,086",14481,"1,709"
"1,087",14013,"1,708"
"1,088",14028,"1,703"
"1,089",13652,"1,696"
"1,090",12207,"1,688"
"1,091",13650,"1,687"
"1,092",14203,"1,666"
"1,092",12116,"1,666"
"1,093",13054,"1,665"
"1,094",14889,"1,659"
"1,095",12059,"1,657"
"1,096",12058,"1,656"
"1,097",12935,"1,651"
"1,098",12733,"1,642"
"1,099",12516,"1,640"
"1,100",12067,"1,635"
"1,101",12093,"1,632"
"1,102",14167,"1,621"
"1,103",13111,"1,616"
"1,104",12974,"1,602"
"1,105",12121,"1,597"
"1,105",12052,"1,597"
"1,106",12463,"1,594"
"1,107",13304,"1,593"
"1,108",14550,"1,589"
"1,109",10162,"1,584"
"1,110",12764,"1,583"
"1,111",12853,"1,577"
"1,112",12870,"1,576"
"1,113",10526,"1,572"
"1,114",14024,"1,567"
"1,115",13145,"1,566"
"1,116",13618,"1,563"
"1,117",14055,"1,562"
"1,117",10922,"1,562"
"1,118",12723,"1,561"
"1,118",14880,"1,561"
"1,119",13660,"1,558"
"1,119",12486,"1,558"
"1,120",13328,"1,554"
"1,121",12140,"1,552"
"1,122",12060,"1,551"
"1,123",13809,"1,546"
"1,124",13608,"1,544"
"1,125",13315,"1,543"
"1,126",13158,"1,539"
"1,127",12451,"1,536"
"1,128",12491,"1,535"
"1,129",13808,"1,534"
"1,130",14478,"1,526"
"1,131",13052,"1,522"
"1,132",13335,"1,519"
"1,133",12076,"1,514"
"1,134",12523,"1,512"
"1,135",12086,"1,505"
"1,136",12485,"1,502"
"1,137",12515,"1,499"
"1,138",12504,"1,498"
"1,139",14591,"1,497"
"1,140",10546,"1,496"
"1,141",10919,"1,491"
"1,142",14466,"1,482"
"1,143",12472,"1,472"
"1,144",14054,"1,471"
"1,145",14129,"1,470"
"1,146",12496,"1,463"
"1,147",13680,"1,460"
"1,148",13630,"1,451"
"1,149",14709,"1,450"
"1,150",13694,"1,441"
"1,151",13477,"1,437"
"1,152",12521,"1,431"
"1,153",13348,"1,419"
"1,154",13801,"1,413"
"1,155",14804,"1,402"
"1,156",13796,"1,400"
"1,157",12481,"1,398"
"1,158",10501,"1,394"
"1,159",12993,"1,387"
"1,160",12125,"1,385"
"1,161",14858,"1,382"
"1,162",13464,"1,378"
"1,163",14778,"1,372"
"1,164",12956,"1,370"
"1,165",13661,"1,368"
"1,166",12814,"1,354"
"1,167",14477,"1,349"
"1,168",14506,"1,346"
"1,169",12941,"1,345"
"1,170",14418,"1,333"
"1,171",12917,"1,332"
"1,172",13757,"1,318"
