Rank,Zip_Code,Population,lat_long
457,11545,"12,390","40.824966, -73.581551"
458,10514,"12,389","41.172330, -73.768948"
459,10918,"12,287","41.344192, -74.262177"
460,12095,"12,228","43.034887, -74.423556"
461,14810,"12,135","42.348980, -77.344542"
462,12586,"12,129","41.565744, -74.179081"
463,10474,"12,127","40.810203, -73.884437"
464,11576,"12,099","40.803242, -73.637480"
465,14219,"12,092","42.789589, -78.825966"
466,10927,"12,081","41.191052, -73.967562"
467,13032,"12,057","43.081629, -75.766050"
468,14608,"12,019","43.154821, -77.623507"
469,14622,"11,976","43.215549, -77.556449"
470,14586,"11,897","43.041661, -77.689956"
471,14425,"11,848","42.990428, -77.332531"
472,14519,"11,771","43.233972, -77.314631"
473,10044,"11,682","40.762050, -73.949933"
474,14201,"11,680","42.896227, -78.886477"
475,11778,"11,641","40.939095, -72.928456"
476,12701,"11,626","41.652125, -74.698825"
477,10601,"11,612","41.029566, -73.759207"
478,13041,"11,453","43.192089, -76.192302"
479,14437,"11,439","42.569208, -77.733176"
480,13827,"11,315","42.109832, -76.249951"
481,13492,"11,268","43.114604, -75.337680"
482,12549,"11,235","41.520026, -74.257424"
483,14454,"11,188","42.797774, -77.774638"
484,13323,"11,097","43.040114, -75.379336"
485,14092,"11,083","43.174537, -78.992002"
486,10604,"11,045","41.052798, -73.736957"
487,13617,"11,034","44.580531, -75.142767"
488,10522,"11,027","41.010310, -73.863746"
489,12566,"11,003","41.622479, -74.340383"
490,12188,"10,952","42.819962, -73.694056"
491,13357,"10,855","42.970962, -75.081183"
492,10536,"10,853","41.296920, -73.729864"
493,14208,"10,805","42.914225, -78.851150"
494,12211,"10,752","42.705608, -73.766085"
495,14212,"10,695","42.894746, -78.820451"
496,11968,"10,667","40.905917, -72.415656"
497,13619,"10,640","43.978952, -75.600977"
498,13078,"10,607","42.958484, -76.061077"
499,13148,"10,605","42.920125, -76.779988"
500,11596,"10,561","40.760589, -73.640783"
501,13165,"10,559","42.916639, -76.883297"
502,14502,"10,545","43.109233, -77.344072"
503,14103,"10,541","43.211161, -78.376770"
504,10553,"10,429","40.908502, -73.821554"
505,10510,"10,381","41.138997, -73.834891"
506,10707,"10,316","40.959962, -73.822722"
507,14031,"10,301","42.983128, -78.614262"
508,12569,"10,268","41.734557, -73.792840"
509,12414,"10,203","42.235013, -73.924019"
510,14059,"10,144","42.835012, -78.642549"
511,14625,"10,122","43.150039, -77.505521"
512,11518,"10,101","40.638346, -73.666295"
513,14467,"10,056","43.043504, -77.618013"
514,10970,"10,055","41.197670, -74.074130"
515,12571,"9,999","42.007516, -73.823254"
516,11716,"9,957","40.776697, -73.134857"
517,14006,"9,949","42.633073, -79.021726"
518,13904,"9,948","42.128281, -75.801040"
519,13642,"9,871","44.332561, -75.465315"
520,13350,"9,827","43.061013, -74.986356"
521,11713,"9,710","40.773594, -72.945434"
522,12210,"9,706","42.657569, -73.757660"
523,10018,"9,687","40.754969, -73.992126"
524,10709,"9,663","40.952626, -73.809927"
525,12202,"9,624","42.634583, -73.763986"
526,13603,"9,589","44.035347, -75.804288"
527,14870,"9,565","42.182406, -77.124783"
528,11752,"9,564","40.755849, -73.173780"
529,14001,"9,549","43.036593, -78.510856"
530,11771,"9,500","40.865967, -73.525877"
531,14011,"9,470","42.830674, -78.299709"
532,13037,"9,442","43.058819, -75.867355"
533,10280,"9,384","40.708501, -74.016828"
534,12209,"9,383","42.638363, -73.787960"
535,14895,"9,354","42.081440, -77.940922"
536,12061,"9,325","42.594948, -73.659578"
537,10989,"9,300","41.122955, -73.938031"
538,14522,"9,231","43.061864, -77.224684"
539,11023,"9,215","40.799784, -73.733445"
540,10523,"9,077","41.061817, -73.819281"
541,11740,"9,070","40.865796, -73.363314"
542,10920,"9,008","41.153040, -73.938131"
543,10930,"8,990","41.361676, -74.113297"
544,14032,"8,955","43.046776, -78.631524"
545,11777,"8,951","40.949875, -73.061723"
545,10992,"8,951","41.421990, -74.163800"
546,13035,"8,851","42.931819, -75.824233"
547,10005,"8,831","40.705390, -74.008988"
548,13036,"8,798","43.309256, -76.166775"
549,10589,"8,751","41.328630, -73.697168"
550,11797,"8,737","40.820348, -73.472077"
551,10706,"8,734","40.990222, -73.865543"
552,11769,"8,706","40.736277, -73.129837"
553,11565,"8,696","40.675062, -73.671934"
554,11792,"8,688","40.946438, -72.835507"
555,13214,"8,685","43.040542, -76.076911"
556,14204,"8,649","42.883587, -78.861199"
557,13367,"8,617","43.715161, -75.571028"
558,12572,"8,596","41.924885, -73.863664"
559,14905,"8,593","42.087725, -76.843282"
560,12563,"8,555","41.503887, -73.572979"
561,12828,"8,546","43.254993, -73.558355"
562,12803,"8,525","43.285467, -73.636150"
563,10579,"8,483","41.397661, -73.839130"
564,13365,"8,469","43.070063, -74.850276"
565,14472,"8,421","42.973554, -77.576983"
566,11789,"8,380","40.957123, -72.971270"
567,10595,"8,341","41.087709, -73.785778"
568,11096,"8,311","40.621346, -73.756990"
569,13224,"8,296","43.031797, -76.100655"
570,14057,"8,284","42.640511, -78.879414"
571,10504,"8,254","41.134968, -73.698635"
572,10923,"8,244","41.203213, -74.002535"
573,11558,"8,217","40.611322, -73.662331"
574,13152,"8,208","42.905238, -76.381554"
575,14482,"8,189","42.973460, -77.960890"
576,11559,"8,181","40.605480, -73.716208"
577,12043,"8,171","42.693970, -74.530506"
578,11024,"8,101","40.816373, -73.743736"
579,14892,"8,084","42.046025, -76.529114"
580,13340,"8,075","43.061642, -75.128570"
581,12540,"8,071","41.669552, -73.714516"
582,12009,"8,036","42.700772, -74.031194"
583,11934,"8,006","40.798359, -72.794297"
584,12033,"7,924","42.543138, -73.705499"
585,14445,"7,875","43.113720, -77.489532"
586,12159,"7,845","42.651428, -73.885894"
587,13732,"7,796","42.049447, -76.167535"
