,objectid,shape_leng,shape_area,zone,locationid,borough,longitude,latitude
170,171,0.10735387624,0.00052009954,Murray Hill-Queens,171,Queens,-73.80844514399993,40.7686573144999
171,168,0.11451743416,0.0005470581,Mott Haven/Port Morris,168,Bronx,-73.9146704041826,40.80709775342672
172,169,0.06010465803,0.00014602754,Mount Hope,169,Bronx,-73.90625315449984,40.849225903999894
173,172,0.11847611615,0.0006584025,New Dorp/Midland Beach,172,Staten Island,-74.10492810109592,40.57244281468053
174,173,0.06006396614,0.00017832985,North Corona,173,Queens,-73.86339178649989,40.7516370124999
175,174,0.06781775596,0.00015592866,Norwood,174,Bronx,-73.87873647099987,40.87685491549992
176,178,0.06825287707,0.00017580541,Ocean Parkway South,178,Brooklyn,-73.97035491649984,40.61763614749991
177,175,0.1348976651,0.00050492073,Oakland Gardens,175,Queens,-73.75394971599994,40.74330428899989
178,179,0.07138086444,0.00018389348,Old Astoria,179,Queens,-73.92778014561382,40.77142084690918
179,180,0.08052776715,0.00024768219,Ozone Park,180,Queens,-73.84834881449993,40.67506227649991
180,176,0.1519951907,0.00065778213,Oakwood,176,Staten Island,-74.1221582960032,40.56207458560746
181,177,0.07158054071,0.00019889476,Ocean Hill,177,Brooklyn,-73.91139941699996,40.67715529049989
182,181,0.08953723995,0.00030689029,Park Slope,181,Brooklyn,-73.98281926999994,40.67193495149988
183,182,0.03936063695,9.106442e-05,Parkchester,182,Bronx,-73.85808235749995,40.83773083199992
184,183,0.03982629603,9.519295e-05,Pelham Bay,183,Bronx,-73.83150112949996,40.849546317999895
185,184,0.26081568304,0.00198883363,Pelham Bay Park,184,Bronx,-73.79976234070955,40.86393164263349
186,185,0.08616196816,0.0002285371,Pelham Parkway,185,Bronx,-73.85244987099998,40.85346786199989
187,186,0.02469639022,3.707294e-05,Penn Station/Madison Sq West,186,Manhattan,-73.99243404399994,40.748496368499886
188,187,0.12686843132,0.00042119576,Port Richmond,187,Staten Island,-74.13743422052602,40.62569230420253
189,188,0.09779839684,0.00031300303,Prospect-Lefferts Gardens,188,Brooklyn,-73.94477074249983,40.65734495249989
